"PPEE"	"PPDE"	"PostFC"	"RealFC"	"C1Mean"	"C2Mean"
"67222"	8.68256421759916e-07	0.999999131743578	6290.76109308519	7011.17957735114	32330.8611275448	4.60133119910182
"59024"	1.43394526841423e-06	0.999998566054732	4720.40432466327	5395.72883269911	19915.9756241603	3.68106495928145
"106585"	1.81535794685495e-06	0.999998184642053	8.20535144520669e-05	5.53821062052614e-05	1.08664205718902	19801.3686822148
"329178"	1.94403623954287e-06	0.99999805596376	4495.57842593101	241887.521930275	2418.86521930275	0
"226562"	2.61446171412327e-06	0.999997385538286	3497.19982191113	3831.02776969782	21191.6933993002	5.52159743892218
"216527"	4.55940653143472e-06	0.999995440593469	2823.74062868444	151913.559595025	1519.12559595025	0
"68703"	5.10342948223386e-06	0.999994896570518	2317.67702027299	2978.89673203149	5512.53515611988	1.84053247964073
"17754"	5.95125759794701e-06	0.999994048742402	3040.69696356768	3068.38412043711	177925.683802072	57.9767731086829
"17938"	6.15138803927717e-06	0.999993848611961	2133.6267220466	2438.79555116424	9001.74280175382	3.68106495928145
"27205"	9.4240320180905e-06	0.999990575967982	1658.48493145631	2131.55981372558	3944.51066759613	1.84053247964073
"18616"	9.94848133328841e-06	0.999990051518667	0.000212378603550986	3.94710413403436e-06	0	2533.49295822546
"16709"	1.00549850058362e-05	0.999989945014994	1622.38937112194	2542.95991538648	2365.61975850049	0.920266239820363
"68810"	1.05084932411348e-05	0.999989491506759	1789.94720816481	96277.4862669469	962.764862669469	0
"232227"	1.17638460711555e-05	0.999988236153929	1682.93343611884	90518.2833638451	905.172833638451	0
"22041"	1.39262545943986e-05	0.999986073745406	1340.08099112004	1722.27787882661	3187.12115373539	1.84053247964073
"16593"	1.52032311909744e-05	0.999984796768809	1462.84850870353	78673.8849404848	786.728849404848	0
"17192"	1.66831763125375e-05	0.999983316823687	1230.48183241415	1928.54041093172	1794.04603641907	0.920266239820363
"195434"	2.26844704377394e-05	0.999977315529562	0.000417477720561775	0.000336183178173167	2.17328411437803	6494.3188544123
"13132"	2.30542843256965e-05	0.999976945715674	0.00036491204347042	6.78298805561124e-06	0	1474.26651619222
"17191"	3.06766535521641e-05	0.999969323346448	996.429992805026	53572.4534194185	535.714534194185	0
"244349"	3.20380435542278e-05	0.999967961956446	0.000444907659531123	0.00042610339436623	11.9530626290792	28075.4824444397
"76022"	3.69973815932401e-05	0.999963002618407	0.000528803627673179	0.00048925097337633	6.5198523431341	13346.6212761147
"19359"	4.07379578863942e-05	0.999959262042114	853.071920818907	45857.2948133765	458.562948133765	0
"83397"	4.76556702032616e-05	0.999952344329797	0.000582713582010403	1.08338014429185e-05	0	923.027038539825
"29818"	4.91747870848824e-05	0.999950825212915	681.364235403439	1067.65224594472	993.190840270761	0.920266239820363
"12653"	4.9572080929261e-05	0.999950427919071	787.213688394888	813.740050245702	12738.7048364268	15.6445260769462
"665113"	5.10750628944789e-05	0.999948924937106	0.000628218375089605	0.000592295839422059	8.69313645751213	14693.8910512117
"99371"	5.60003729492831e-05	0.999943999627051	0.000734296433822493	0.000632247763640163	3.25992617156705	5171.89626779044
"218397"	6.61605725869041e-05	0.999933839427413	0.000768986117800521	0.000711481445104496	6.5198523431341	9177.81520972849
"224727"	7.99129049449121e-05	0.999920087095055	0.000646867584860912	0.000638911794816694	42.3790402303717	66345.6742936093
"26939"	8.10259172022709e-05	0.999918974082798	0.000820677753813225	1.52615937261154e-05	0	655.229562752099
"233335"	0.000107994992065041	0.999892005007935	0.00103541987857125	0.000968338905037783	7.60649440032312	7865.51555174465
"12168"	0.000114309282429059	0.999885690717571	0.00102491775553055	1.90635323149657e-05	0	524.551756697607
"22696"	0.000115560782396162	0.999884439217604	0.00103215351442148	1.91982543384881e-05	0	520.870691738326
"229584"	0.000122170217525031	0.999877829782475	0.00106992088408524	1.99014731027718e-05	0	502.465366941918
"57376"	0.000123920042879644	0.99987607995712	0.00107979856971413	2.00854016921775e-05	0	497.864035742817
"17120"	0.000128875452265143	0.999871124547735	453.284621477335	24341.782081034	243.40782081034	0
